Dataset,Setup,Prompt Version,Generator Model,Skeptic Model,Judge Model,Accuracy,F1_Macro,Maybe_Recall,Δ Accuracy,p-value,CI_Lower,CI_Upper,CI_Width,Cohens_d,Effect_Size,Unknown Rate,Samples,Hard %,Medium %,Easy %,Both Correct,Fixed by Debate,Broke by Debate,Both Wrong,Net Impact,Precision_yes,Recall_yes,F1_yes,Precision_no,Recall_no,F1_no,Precision_maybe,Recall_maybe,F1_maybe,Total_Tokens,Tokens_per_Question,Precision_A,Recall_A,F1_A,Precision_B,Recall_B,F1_B,Precision_C,Recall_C,F1_C,Precision_D,Recall_D,F1_D
MEDQA,1-stage (Baseline),v1_baseline,llama-3.1-8b-instant,-,-,50.0%,0.5008,,-,-,0.4038315303659956,0.5961684696340044,0.1923369392680087,,,2.0%,100,26.0%,31.0%,43.0%,-,-,-,-,-,,,,,,,,,,31092,310.9,0.4324,0.5714,0.4923,0.6667,0.4211,0.5161,0.6296,0.5312,0.5763,0.4091,0.4286,0.4186
MEDQA,1-stage (Baseline),v1_baseline,llama-3.3-70b-versatile,-,-,78.0%,0.77,,-,-,0.6892964648501421,0.8499871761539459,0.1606907113038038,,,0.0%,100,26.0%,31.0%,43.0%,-,-,-,-,-,,,,,,,,,,29583,295.8,0.8,0.8571,0.8276,0.6364,0.7368,0.6829,0.8621,0.7812,0.8197,0.7895,0.7143,0.75
MEDQA,1-stage (Baseline),v1_cot,llama-3.3-70b-versatile,-,-,79.0%,0.7997,,-,-,0.7002003116591013,0.858343459380847,0.1581431477217456,,,4.0%,100,26.0%,31.0%,43.0%,-,-,-,-,-,,,,,,,,,,73607,736.1,0.8966,0.9286,0.9123,0.8421,0.8421,0.8421,0.8846,0.7188,0.7931,0.6364,0.6667,0.6512
MEDQA,3-stage (Debate),v2_structured,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,77.0%,0.7769,,+8.0%,< 0.001***,0.6784561697712622,0.8415673411969654,0.1631111714257032,0.1809325092127601,negligible,8.0%,100,26.0%,31.0%,43.0%,25.0,51.0,1.0,23.0,+50 (HELPED),,,,,,,,,,,,0.8929,0.8929,0.8929,0.7273,0.8421,0.7805,0.8571,0.75,0.8,0.65,0.619,0.6341
MEDQA,3-stage (Debate),v3_skeptic_strict,llama-3.1-8b-instant,llama-3.1-8b-instant,llama-3.1-8b-instant,11.0%,0.1753,,-58.0%,< 0.001***,0.0625419635706456,0.1863129650308031,0.1237710014601574,-1.4689429728020251,large,77.0%,100,26.0%,31.0%,43.0%,4,7,46,43,-39 (HURT),,,,,,,,,,390663,3906.6,0.5,0.0714,0.125,0.1667,0.0526,0.08,0.6667,0.125,0.2105,0.5714,0.1905,0.2857
MEDQA,3-stage (Debate),v3_skeptic_strict,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,50.0%,0.6521,,-19.0%,0.8802,0.4038315303659956,0.5961684696340044,0.1923369392680087,-0.3945085432924879,small,45.0%,100,26.0%,31.0%,43.0%,28,22,22,28,0 (NEUTRAL),,,,,,,,,,374938,3749.4,0.875,0.5,0.6364,0.9167,0.5789,0.7097,0.9333,0.4375,0.5957,0.9167,0.5238,0.6667
MEDQA,3-stage (Debate),v5_angel_devil,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,44.0%,0.5809,,-35.0%,0.4510,0.3467202663016079,0.5377189534832302,0.1909986871816222,-0.770861533768862,medium,0.0%,100,26.0%,31.0%,43.0%,25,19,25,31,-6 (HURT),,,,,,,,,,,,0.8571,0.4286,0.5714,1,0.5263,0.6897,0.9375,0.4688,0.625,0.6364,0.3333,0.4375
MEDQA,3-stage (Debate),v5_counter_argument,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,61.0%,0.6107,,-18.0%,0.1273,0.5120301704584073,0.6998312599360558,0.1878010894776485,-0.40059391272501,small,0.0%,100,26.0%,31.0%,43.0%,34,27,16,23,+11 (HELPED),,,,,,,,,,,,0.7917,0.6786,0.7308,0.6111,0.5789,0.5946,0.5862,0.5312,0.5574,0.4828,0.6667,0.56
MEDQA,3-stage (Heterogeneous),v2_structured,llama-3.1-8b-instant,llama-3.3-70b-versatile,llama-3.1-8b-instant,40.0%,0.4929,,-10.0%,0.1443,0.3094012864324589,0.4979974132089382,0.1885961267764793,-0.2020305089104421,small,0.0%,100,26.0%,31.0%,43.0%,26,14,24,36,-10 (HURT),,,,,,,,,,,,0.5556,0.3571,0.4348,0.6154,0.4211,0.5,0.8,0.375,0.5106,0.5882,0.4762,0.5263
MEDQA,3-stage (Heterogeneous),v2_structured,qwen/qwen3-32b,llama-3.3-70b-versatile,qwen/qwen3-32b,82.0%,0.8277,,+3.0%,< 0.001***,0.7333264161369926,0.8829977450105364,0.1496713288735438,0.0757735230424083,negligible,0.0%,100,26.0%,31.0%,43.0%,43,39,7,11,+32 (HELPED),,,,,,,,,,,,0.7692,0.7143,0.7407,0.8947,0.8947,0.8947,0.871,0.8438,0.8571,0.7826,0.8571,0.8182
MEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,llama-3.3-70b-versatile,qwen/qwen3-32b,78.0%,0.7769,,-1.0%,< 0.001***,0.6892964648501421,0.8499871761539459,0.1606907113038038,-0.0243432247780074,negligible,0.0%,100,26.0%,31.0%,43.0%,42,36,8,14,+28 (HELPED),,,,,,,,,,,,0.8929,0.8929,0.8929,0.7273,0.8421,0.7805,0.8571,0.75,0.8,0.65,0.619,0.6341
MEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,qwen/qwen3-32b,llama-3.3-70b-versatile,83.0%,0.842,,+4.0%,< 0.001***,0.7445199523239887,0.8910643388594006,0.1465443865354119,0.1020953121780312,negligible,0.0%,100,26.0%,31.0%,43.0%,47,36,3,14,+33 (HELPED),,,,,,,,,,,,0.8929,0.8929,0.8929,0.7273,0.8421,0.7805,0.8571,0.75,0.8,0.65,0.619,0.6341
MEDQA,3-stage (Heterogeneous),v2_structured,qwen/qwen3-32b,llama-3.3-70b-versatile,llama-3.3-70b-versatile,88.0%,0.8731,,+9.0%,< 0.001***,0.8018790057328857,0.9300059356298052,0.1281269298969194,0.2442713824566701,small,0.0%,100,26.0%,31.0%,43.0%,48,40,2,10,+38 (HELPED),,,,,,,,,,,,0.7692,0.7143,0.7407,0.8947,0.8947,0.8947,0.871,0.8438,0.8571,0.7826,0.8571,0.8182
MEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.1-8b-instant,58.0%,0.6516,,-21.0%,0.2561,0.4820648670304296,0.6720161732564526,0.1899513062260229,-0.464095480892257,small,0.0%,100,26.0%,31.0%,43.0%,35,23,15,27,+8 (HELPED),,,,,,,,,,,,0.8929,0.8929,0.8929,0.7273,0.8421,0.7805,0.8571,0.75,0.8,0.65,0.619,0.6341
MEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,llama-3.1-8b-instant,llama-3.3-70b-versatile,82.0%,0.8233,,+3.0%,< 0.001***,0.7333264161369926,0.8829977450105364,0.1496713288735438,0.0757735230424083,negligible,0.0%,100,26.0%,31.0%,43.0%,47,35,3,15,+32 (HELPED),,,,,,,,,,,,0.8929,0.8929,0.8929,0.7273,0.8421,0.7805,0.8571,0.75,0.8,0.65,0.619,0.6341
MEDQA,3-stage (Heterogeneous),v2_structured,llama-3.1-8b-instant,llama-3.3-70b-versatile,llama-3.3-70b-versatile,69.0%,0.7108,,+19.0%,< 0.001***,0.5937394428051057,0.7722030278762395,0.1784635850711338,0.3945085432924881,small,0.0%,100,26.0%,31.0%,43.0%,45,24,5,26,+19 (HELPED),,,,,,,,,,,,0.5556,0.3571,0.4348,0.6154,0.4211,0.5,0.8,0.375,0.5106,0.5882,0.4762,0.5263
MEDQA,3-stage (Heterogeneous),v5_angel_devil,qwen/qwen3-32b,llama-3.3-70b-versatile,llama-3.3-70b-versatile,59.0%,0.6966,,-20.0%,0.2432,0.4920143005341078,0.6813268697886348,0.189312569254527,-0.442916013923517,small,0.0%,100,26.0%,31.0%,43.0%,31,28,19,22,+9 (HELPED),,,,,,,,,,,,0.9333,0.5,0.6512,0.8462,0.5789,0.6875,0.913,0.6562,0.7636,0.7647,0.619,0.6842
MMLU,1-stage (Baseline),v1_baseline,llama-3.1-8b-instant,-,-,81.0%,0.8062,,-,-,0.7222115462093562,0.8748524849023126,0.1526409386929563,,,0.0%,100,7.0%,22.0%,71.0%,-,-,-,-,-,,,,,,,,,,20061,200.6,0.64,0.8889,0.7442,1,0.76,0.8636,0.76,0.76,0.76,0.871,0.8438,0.8571
MMLU,1-stage (Baseline),v1_baseline,llama-3.3-70b-versatile,-,-,88.0%,0.8809,,-,-,0.8018790057328857,0.9300059356298052,0.1281269298969194,,,0.0%,100,7.0%,22.0%,71.0%,-,-,-,-,-,,,,,,,,,,19312,193.1,0.8889,0.8889,0.8889,0.8276,0.96,0.8889,0.913,0.84,0.875,0.9,0.8438,0.871
MMLU,1-stage (Baseline),v1_cot,llama-3.3-70b-versatile,-,-,90.0%,0.8991,,-,-,0.8256343384950865,0.9447708629393248,0.1191365244442383,,,1.0%,100,7.0%,22.0%,71.0%,-,-,-,-,-,,,,,,,,,,53982,539.8,0.8,0.8889,0.8421,0.88,0.88,0.88,0.9583,0.92,0.9388,0.9667,0.9062,0.9355
